Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Juventus,2007-2008,8,Cristiano Zanetti,,Italy,MDC|MC,75
Juventus,2007-2008,20,Raffaele Palladino,,Italy,BU|AG,75
Juventus,2007-2008,3,Giorgio Chiellini,,Italy,DC|DG,74
Juventus,2007-2008,27,Jonathan Zebina,,France,DD|DC|MDD,73
Juventus,2007-2008,30,Cristian Molinaro,,Italy,DG|DC|MDG|MG,59
Juventus,2007-2008,15,Claudio Marchisio,,Italy,MC|MDC|MOC,71
Juventus,2008-2009,1,Gianluigi Buffon,,Italy,G,90
Juventus,2008-2009,10,Alessandro Del Piero,,Italy,BU|MOC|AG,87
Juventus,2008-2009,17,David Trezeguet,,France,BU,86
Juventus,2008-2009,16,Mauro Camoranesi,,Italy,MD|MG|MOC,86
Juventus,2008-2009,3,Giorgio Chiellini,,Italy,DC|DG,85
Juventus,2008-2009,32,Amauri,,Brazil,BU,85
Juventus,2008-2009,9,Vincenzo Iaquinta,,Italy,BU,84
Juventus,2008-2009,18,Christian Poulsen,,Denmark,MDC,83
Juventus,2008-2009,30,Nicola Legrottaglie,,Italy,DC,82
Juventus,2008-2009,8,Cristiano Zanetti,,Italy,MDC|MC,82
Juventus,2008-2009,11,Pavel Nedved,,Czechia,MOC|MC|MG,81
Juventus,2008-2009,2,Zdenek Grygera,,Czechia,DD|DC,80
Juventus,2008-2009,29,Mohamed Sissoko,,Mali,MDC|MOC|MC,80
Juventus,2008-2009,20,Hasan Salihamidzic,,Bosnia and Herzegovina,MG|MD|DD|DG|MC,79
Juventus,2008-2009,25,Sebastian Giovinco,,Italy,MOC|MC|BU,79
Juventus,2008-2009,23,Tiago,,Portugal,MDC|MC,78
Juventus,2008-2009,5,Jorge Andrade,,Portugal,DC,78
Juventus,2008-2009,28,Olof Mellberg,,Sweden,DC,77
Juventus,2008-2009,27,Jonathan Zebina,,France,DD|DC|MDD,76
Juventus,2008-2009,30,Cristian Molinaro,,Italy,DG|DC|MDG|MG,76
Juventus,2008-2009,15,Claudio Marchisio,,Italy,MC|MDC|MOC,74
Juventus,2008-2009,7,Paolo De Ceglie,,Italy,DG,71
Juventus,2009-2010,1,Gianluigi Buffon,,Italy,G,88
Juventus,2009-2010,10,Diego,,Brazil,MOC,87
Juventus,2009-2010,7,Alessandro Del Piero,,Italy,BU|MOC|AG,86
Juventus,2009-2010,3,Giorgio Chiellini,,Italy,DC|DG,86
Juventus,2009-2010,16,Mauro Camoranesi,,Italy,MD|MG|MOC,84
Juventus,2009-2010,32,Amauri,,Brazil,BU,84
Juventus,2009-2010,28,Fabio Cannavaro,,Italy,DC,83
Juventus,2009-2010,9,Vincenzo Iaquinta,,Italy,BU,83
Juventus,2009-2010,30,Nicola Legrottaglie,,Italy,DC,82
Juventus,2009-2010,17,David Trezeguet,,France,BU,82
Juventus,2009-2010,30,Felipe Melo,,Brazil,MDC|MOC|MC,82
Juventus,2009-2010,25,Sebastian Giovinco,,Italy,MOC|MC|BU,81
Juventus,2009-2010,29,Mohamed Sissoko,,Mali,MDC|MOC|MC,79
Juventus,2009-2010,8,Claudio Marchisio,,Italy,MC|MDC|MOC,79
Juventus,2009-2010,23,Tiago,,Portugal,MDC|MC,78
Juventus,2009-2010,2,Zdenek Grygera,,Czechia,DD|DC,78
Juventus,2009-2010,4,Martin Caceres,,Uruguay,DD|DC,78
Juventus,2009-2010,20,Hasan Salihamidzic,,Bosnia and Herzegovina,MG|MD|DD|DG|MC,77
Juventus,2009-2010,26,Fabio Grosso,,Italy,DG|MDC|MDG|MG,77
Juventus,2009-2010,18,Christian Poulsen,,Denmark,MDC,77
Juventus,2009-2010,27,Jonathan Zebina,,France,DD|DC|MDD,76
Juventus,2009-2010,33,Cristian Molinaro,,Italy,DG|DC|MDG|MG,75
Juventus,2009-2010,7,Paolo De Ceglie,,Italy,DG,74
Juventus,2010-2011,1,Gianluigi Buffon,,Italy,G,86
Juventus,2010-2011,3,Giorgio Chiellini,,Italy,DC|DG,85
Juventus,2010-2011,26,Milos Krasic,,Serbia,MD|AD|MC,83
Juventus,2010-2011,10,Alessandro Del Piero,,Italy,BU|MOC|AG,80
Juventus,2010-2011,27,Fabio Quagliarella,,Italy,BU,80
Juventus,2010-2011,8,Claudio Marchisio,,Italy,MC|MDC|MOC,80
Juventus,2010-2011,9,Vincenzo Iaquinta,,Italy,BU,79
Juventus,2010-2011,7,Simone Pepe,,Italy,MD|BU,79
Juventus,2010-2011,32,Amauri,,Brazil,BU,79
Juventus,2010-2011,29,Mohamed Sissoko,,Mali,MDC|MOC|MC,79
Juventus,2010-2011,16,Alberto Aquilani,,Italy,MC|MDC|MOC,78
Juventus,2010-2011,30,Felipe Melo,,Brazil,MDC|MOC|MC,78
Juventus,2010-2011,19,Leonardo Bonucci,,Italy,DC,78
Juventus,2010-2011,24,Nicola Legrottaglie,,Italy,DC,77
Juventus,2010-2011,12,Marco Storari,,Italy,G,77
Juventus,2010-2011,5,Jorge Martinez,,Uruguay,MC|MD|MG|BU,77
Juventus,2010-2011,23,Marco Motta,,Italy,DD|MDD|MD,76
Juventus,2010-2011,2,Zdenek Grygera,,Czechia,DD|DC,74
Juventus,2010-2011,20,Hasan Salihamidzic,,Bosnia and Herzegovina,MG|MD|DD|DG|MC,73
Juventus,2010-2011,26,Fabio Grosso,,Italy,DG|MDC|MDG|MG,73
Juventus,2010-2011,7,Paolo De Ceglie,,Italy,DG,73
Juventus,2011-2012,1,Gianluigi Buffon,,Italy,G,86
Juventus,2011-2012,21,Andrea Pirlo,,Italy,MDC|MC,85
Juventus,2011-2012,3,Giorgio Chiellini,,Italy,DC|DG,83
Juventus,2011-2012,8,Claudio Marchisio,,Italy,MC|MDC|MOC,83
Juventus,2011-2012,23,Arturo Vidal,,Chile,MC|MDC|MOC,83
Juventus,2011-2012,9,Mirko Vucinic,,Montenegro,BU|MD|AG,82
Juventus,2011-2012,15,Andrea Barzagli,,Italy,DC|DD,82
Juventus,2011-2012,26,Stephan Lichtsteiner,,Switzerland,DD|MD,81
Juventus,2011-2012,7,Simone Pepe,,Italy,MD|BU,80
Juventus,2011-2012,11,Fabio Quagliarella,,Italy,BU,80
Juventus,2011-2012,26,Milos Krasic,,Serbia,MD|AD|MC,80
Juventus,2011-2012,32,Alessandro Matri,,Italy,BU,80
Juventus,2011-2012,10,Alessandro Del Piero,,Italy,BU|MOC|AG,79
Juventus,2011-2012,12,Marco Storari,,Italy,G,78
Juventus,2011-2012,4,Martin Caceres,,Uruguay,DD|DC,78
Juventus,2011-2012,19,Leonardo Bonucci,,Italy,DC,78
Juventus,2011-2012,9,Vincenzo Iaquinta,,Italy,BU,77
Juventus,2011-2012,20,Simone Padoin,,Italy,MC|MG|MD|DG|DD,75
Juventus,2011-2012,23,Marco Motta,,Italy,DD|MDD|MD,73
Juventus,2011-2012,26,Fabio Grosso,,Italy,DG|MDC|MDG|MG,72
Juventus,2012-2013,1,Gianluigi Buffon,,Italy,G,87
Juventus,2012-2013,21,Andrea Pirlo,,Italy,MDC|MC,87
Juventus,2012-2013,15,Andrea Barzagli,,Italy,DC|DD,85
Juventus,2012-2013,3,Giorgio Chiellini,,Italy,DC|DG,85
Juventus,2012-2013,8,Claudio Marchisio,,Italy,MC|MDC|MOC,85
Juventus,2012-2013,23,Arturo Vidal,,Chile,MC|MDC|MOC,85
Juventus,2012-2013,9,Mirko Vucinic,,Montenegro,BU|MD|AG,83
Juventus,2012-2013,11,Fabio Quagliarella,,Italy,BU,82
Juventus,2012-2013,7,Nicolas Anelka,,France,BU,81
Juventus,2012-2013,26,Stephan Lichtsteiner,,Switzerland,DD|MD,81
Juventus,2012-2013,4,Martin Caceres,,Uruguay,DD|DC,81
Juventus,2012-2013,19,Leonardo Bonucci,,Italy,DC,81
Juventus,2012-2013,2,Sebastian Giovinco,,Italy,MOC|MC|BU,80
Juventus,2012-2013,5,Kwadwo Asamoah,,Ghana,MG|MC|DG,80
Juventus,2012-2013,14,Mauricio Isla,,Chile,DD|MC|MDC|MD,79
Juventus,2012-2013,6,Paul Pogba,,France,MC|MDC|MOC,79
Juventus,2012-2013,30,Simone Pepe,,Italy,MD|BU,78
Juventus,2012-2013,32,Alessandro Matri,,Italy,BU,78
Juventus,2012-2013,33,Federico Peluso,,Italy,DG|DC,77
Juventus,2012-2013,20,Simone Padoin,,Italy,MC|MG|MD|DG|DD,76
Juventus,2012-2013,9,Nicklas Bendtner,,Denmark,BU,76
Juventus,2012-2013,64,Daniele Rugani,,Italy,DC,64
Juventus,2013-2014,9,Carlos Tevez,,Argentina,BU|MOC|AG,86
Juventus,2013-2014,23,Arturo Vidal,,Chile,MC|MDC|MOC,86
Juventus,2013-2014,21,Andrea Pirlo,,Italy,MDC|MC,84
Juventus,2013-2014,15,Andrea Barzagli,,Italy,DC|DD,84
Juventus,2013-2014,3,Giorgio Chiellini,,Italy,DC|DG,84
Juventus,2013-2014,8,Claudio Marchisio,,Italy,MC|MDC|MOC,84
Juventus,2013-2014,1,Gianluigi Buffon,,Italy,G,82
Juventus,2013-2014,18,Fernando Llorente,,Spain,BU,82
Juventus,2013-2014,6,Paul Pogba,,France,MC|MDC|MOC,81
Juventus,2013-2014,5,Kwadwo Asamoah,,Ghana,MG|MC|DG,80
Juventus,2013-2014,9,Mirko Vucinic,,Montenegro,BU|MD|AG,79
Juventus,2013-2014,26,Stephan Lichtsteiner,,Switzerland,DD|MD,79
Juventus,2013-2014,17,Pablo Osvaldo,,Italy,BU,79
Juventus,2013-2014,4,Martin Caceres,,Uruguay,DD|DC,79
Juventus,2013-2014,19,Leonardo Bonucci,,Italy,DC,79
Juventus,2013-2014,27,Fabio Quagliarella,,Italy,BU,78
Juventus,2013-2014,28,Angelo Ogbonna,,Italy,DC|DG,77
Juventus,2013-2014,25,Sebastian Giovinco,,Italy,MOC|MC|BU,77
Juventus,2013-2014,14,Mauricio Isla,,Chile,DD|MC|MDC|MD,77
Juventus,2013-2014,30,Simone Pepe,,Italy,MD|BU,76
Juventus,2013-2014,12,Marco Storari,,Italy,G,75
Juventus,2013-2014,20,Simone Padoin,,Italy,MC|MG|MD|DG|DD,73
Juventus,2014-2015,9,Carlos Tevez,,Argentina,BU|MOC|AG,85
Juventus,2014-2015,23,Arturo Vidal,,Chile,MC|MDC|MOC,85
Juventus,2014-2015,3,Giorgio Chiellini,,Italy,DC|DG,84
Juventus,2014-2015,6,Paul Pogba,,France,MC|MDC|MOC,84
Juventus,2014-2015,1,Gianluigi Buffon,,Italy,G,83
Juventus,2014-2015,21,Andrea Pirlo,,Italy,MDC|MC,83
Juventus,2014-2015,15,Andrea Barzagli,,Italy,DC|DD,83
Juventus,2014-2015,8,Claudio Marchisio,,Italy,MC|MDC|MOC,83
Juventus,2014-2015,25,Sebastian Giovinco,,Italy,MOC|MC|BU,81
Juventus,2014-2015,18,Fernando Llorente,,Spain,BU,80
Juventus,2014-2015,4,Martin Caceres,,Uruguay,DD|DC,80
Juventus,2014-2015,19,Leonardo Bonucci,,Italy,DC,80
Juventus,2014-2015,33,Patrice Evra,,France,DG|MDG,79
Juventus,2014-2015,5,Kwadwo Asamoah,,Ghana,MG|MC|DG,79
Juventus,2014-2015,17,Roberto Pereyra,,Argentina,MOC|MD|BU|MC|MG,79
Juventus,2014-2015,27,Alvaro Morata,,Spain,BU,78
Juventus,2014-2015,26,Stephan Lichtsteiner,,Switzerland,DD|MD,77
Juventus,2014-2015,28,Angelo Ogbonna,,Italy,DC|DG,77
Juventus,2014-2015,32,Alessandro Matri,,Italy,BU,76
Juventus,2014-2015,30,Simone Pepe,,Italy,MD|BU,75
Juventus,2014-2015,20,Simone Padoin,,Italy,MC|MG|MD|DG|DD,73
Juventus,2014-2015,39,Stefano Sturaro,,Italy,MDC|MC,73
Juventus,2015-2016,1,Gianluigi Buffon,,Italy,G,89
Juventus,2015-2016,15,Andrea Barzagli,,Italy,DC|DD,85
Juventus,2015-2016,19,Leonardo Bonucci,,Italy,DC,86
Juventus,2015-2016,3,Giorgio Chiellini,,Italy,DC|DG,87
Juventus,2015-2016,8,Claudio Marchisio,,Italy,MC|MDC|MOC,83
Juventus,2015-2016,26,Stephan Lichtsteiner,,Switzerland,DD|MD,80
Juventus,2015-2016,6,Sami Khedira,,Germany,MDC|MC,85
Juventus,2015-2016,10,Paul Pogba,,France,MC|MDC|MOC,87
Juventus,2015-2016,33,Patrice Evra,,France,DG|MDG,82
Juventus,2015-2016,17,Mario Mandzukic,,Croatia,BU|AG|AD,82
Juventus,2015-2016,21,Paulo Dybala,,Argentina,MOC|AG|AD|BU,79
Juventus,2015-2016,20,Simone Padoin,,Italy,MC|MG|MD|DG|DD,74
Juventus,2015-2016,11,Hernanes,,Brazil,MOC|MC|MDC,80
Juventus,2015-2016,4,Martin Caceres,,Uruguay,DD|DC,76
Juventus,2015-2016,5,Kwadwo Asamoah,,Ghana,MG|MC|DG,76
Juventus,2015-2016,12,Alex Sandro,,Brazil,DG|MG,81
Juventus,2015-2016,17,Roberto Pereyra,,Argentina,MOC|MD|BU|MC|MG,78
Juventus,2015-2016,16,Juan Cuadrado,,Colombia,AD|DD|MD,83
Juventus,2015-2016,25,Neto,,Brazil,G,78
Juventus,2015-2016,9,Alvaro Morata,,Spain,BU,82
Juventus,2015-2016,27,Stefano Sturaro,,Italy,MDC|MC,74
Juventus,2015-2016,37,Simone Zaza,,Italy,BU,77
Juventus,2015-2016,24,Daniele Rugani,,Italy,DC,72
Juventus,2016-2017,9,Gonzalo Higuain,,Argentina,BU,89
Juventus,2016-2017,1,Gianluigi Buffon,,Italy,G,88
Juventus,2016-2017,3,Giorgio Chiellini,,Italy,DC|DG,88
Juventus,2016-2017,19,Leonardo Bonucci,,Italy,DC,87
Juventus,2016-2017,15,Andrea Barzagli,,Italy,DC|DD,86
Juventus,2016-2017,8,Claudio Marchisio,,Italy,MC|MDC|MOC,86
Juventus,2016-2017,10,Paulo Dybala,,Argentina,MOC|AG|AD|BU,86
Juventus,2016-2017,5,Miralem Pjanic,,Bosnia and Herzegovina,MC|MOC|MDC,85
Juventus,2016-2017,6,Dani Alves,,Brazil,DD|MD,84
Juventus,2016-2017,4,Medhi Benatia,,Morocco,DC|DD,84
Juventus,2016-2017,6,Sami Khedira,,Germany,MDC|MC,84
Juventus,2016-2017,12,Alex Sandro,,Brazil,DG|MG,84
Juventus,2016-2017,26,Stephan Lichtsteiner,,Switzerland,DD|MD,83
Juventus,2016-2017,17,Mario Mandzukic,,Croatia,BU|AG|AD,83
Juventus,2016-2017,16,Juan Cuadrado,,Colombia,AD|DD|MD,83
Juventus,2016-2017,33,Patrice Evra,,France,DG|MDG,82
Juventus,2016-2017,15,Hernanes,,Brazil,MOC|MC|MDC,80
Juventus,2016-2017,5,Kwadwo Asamoah,,Ghana,MG|MC|DG,80
Juventus,2016-2017,25,Neto,,Brazil,G,80
Juventus,2016-2017,24,Daniele Rugani,,Italy,DC,80
Juventus,2016-2017,37,Simone Zaza,,Italy,BU,79
Juventus,2016-2017,18,Marko Pjaca,,Croatia,AG|BU,76
Juventus,2016-2017,27,Stefano Sturaro,,Italy,MDC|MC,77
Juventus,2016-2017,69,Moise Kean,,Italy,BU|AG|AD,62
Juventus,2017-2018,9,Gonzalo Higuain,,Argentina,BU,90
Juventus,2017-2018,1,Gianluigi Buffon,,Italy,G,89
Juventus,2017-2018,3,Giorgio Chiellini,,Italy,DC|DG,89
Juventus,2017-2018,10,Paulo Dybala,,Argentina,MOC|AG|AD|BU,89
Juventus,2017-2018,5,Miralem Pjanic,,Bosnia and Herzegovina,MC|MOC|MDC,86
Juventus,2017-2018,12,Alex Sandro,,Brazil,DG|MG,86
Juventus,2017-2018,14,Blaise Matuidi,,France,MC|MDC|MG,85
Juventus,2017-2018,4,Medhi Benatia,,Morocco,DC|DD,85
Juventus,2017-2018,15,Andrea Barzagli,,Italy,DC|DD,84
Juventus,2017-2018,8,Claudio Marchisio,,Italy,MC|MDC|MOC,84
Juventus,2017-2018,6,Sami Khedira,,Germany,MDC|MC,84
Juventus,2017-2018,1,Wojciech Szczesny,,Poland,G,84
Juventus,2017-2018,11,Douglas Costa,,Brazil,AG|AD|MG|MD,84
Juventus,2017-2018,33,Benedikt Howedes,,Germany,DC|DG,83
Juventus,2017-2018,17,Mario Mandzukic,,Croatia,BU|AG|AD,83
Juventus,2017-2018,16,Juan Cuadrado,,Colombia,AD|DD|MD,83
Juventus,2017-2018,33,Federico Bernardeschi,,Italy,AG|AD|MOC|MG,82
Juventus,2017-2018,24,Daniele Rugani,,Italy,DC,81
Juventus,2017-2018,26,Stephan Lichtsteiner,,Switzerland,DD|MD,80
Juventus,2017-2018,5,Kwadwo Asamoah,,Ghana,MG|MC|DG,79
Juventus,2017-2018,2,Mattia De Sciglio,,Italy,DD|DG|DC,77
Juventus,2017-2018,27,Stefano Sturaro,,Italy,MDC|MC,76
Juventus,2017-2018,18,Marko Pjaca,,Croatia,AG|BU,76
Juventus,2017-2018,30,Rodrigo Bentancur,,Uruguay,MDC|MC,75
Juventus,2017-2018,18,Moise Kean,,Italy,BU|AG|AD,71
Juventus,2018-2019,7,Cristiano Ronaldo,CR7,Portugal,BU|AG|AD|MOC,94
Juventus,2018-2019,3,Giorgio Chiellini,,Italy,DC|DG,90
Juventus,2018-2019,10,Paulo Dybala,,Argentina,MOC|AG|AD|BU,89
Juventus,2018-2019,4,Medhi Benatia,,Morocco,DC|DD,86
Juventus,2018-2019,5,Miralem Pjanic,,Bosnia and Herzegovina,MC|MOC|MDC,86
Juventus,2018-2019,19,Leonardo Bonucci,,Italy,DC,86
Juventus,2018-2019,1,Wojciech Szczesny,,Poland,G,86
Juventus,2018-2019,12,Alex Sandro,,Brazil,DG|MG,86
Juventus,2018-2019,14,Blaise Matuidi,,France,MC|MDC|MG,85
Juventus,2018-2019,17,Mario Mandzukic,,Croatia,BU|AG|AD,85
Juventus,2018-2019,11,Douglas Costa,,Brazil,AG|AD|MG|MD,85
Juventus,2018-2019,6,Sami Khedira,,Germany,MDC|MC,84
Juventus,2018-2019,16,Juan Cuadrado,,Colombia,AD|DD|MD,84
Juventus,2018-2019,2,Mattia Perin,,Italy,G,84
Juventus,2018-2019,15,Andrea Barzagli,,Italy,DC|DD,83
Juventus,2018-2019,20,Joao Cancelo,,Portugal,DD|DG,83
Juventus,2018-2019,24,Daniele Rugani,,Italy,DC,82
Juventus,2018-2019,33,Federico Bernardeschi,,Italy,AG|AD|MOC|MG,82
Juventus,2018-2019,23,Emre Can,,Germany,MDC|DC|MC,80
Juventus,2018-2019,4,Martin Caceres,,Uruguay,DD|DC,78
Juventus,2018-2019,21,Leonardo Spinazzola,,Italy,DG|AG|MD|MG|MDG,78
Juventus,2018-2019,2,Mattia De Sciglio,,Italy,DD|DG|DC,78
Juventus,2018-2019,30,Rodrigo Bentancur,,Uruguay,MDC|MC,78
Juventus,2018-2019,18,Moise Kean,,Italy,BU|AG|AD,73
Juventus,2019-2020,7,Cristiano Ronaldo,CR7,Portugal,BU|AG|AD|MOC,93
Juventus,2019-2020,3,Giorgio Chiellini,,Italy,DC|DG,88
Juventus,2019-2020,1,Wojciech Szczesny,,Poland,G,87
Juventus,2019-2020,10,Paulo Dybala,,Argentina,MOC|AG|AD|BU,87
Juventus,2019-2020,5,Miralem Pjanic,,Bosnia and Herzegovina,MC|MOC|MDC,86
Juventus,2019-2020,19,Leonardo Bonucci,,Italy,DC,86
Juventus,2019-2020,9,Gonzalo Higuain,,Argentina,BU,85
Juventus,2019-2020,4,Matthijs de Ligt,,Netherlands,DC,85
Juventus,2019-2020,14,Blaise Matuidi,,France,MC|MDC|MG,84
Juventus,2019-2020,11,Douglas Costa,,Brazil,AG|AD|MG|MD,84
Juventus,2019-2020,12,Alex Sandro,,Brazil,DG|MG,84
Juventus,2019-2020,1,Gianluigi Buffon,,Italy,G,83
Juventus,2019-2020,6,Sami Khedira,,Germany,MDC|MC,83
Juventus,2019-2020,17,Mario Mandzukic,,Croatia,BU|AG|AD,83
Juventus,2019-2020,8,Aaron Ramsey,,Wales,MC|MOC|MDC,83
Juventus,2019-2020,16,Juan Cuadrado,,Colombia,AD|DD|MD,83
Juventus,2019-2020,2,Mattia Perin,,Italy,G,82
Juventus,2019-2020,23,Emre Can,,Germany,MDC|DC|MC,82
Juventus,2019-2020,25,Adrien Rabiot,,France,MC|MDC|MG,82
Juventus,2019-2020,24,Daniele Rugani,,Italy,DC,81
Juventus,2019-2020,33,Federico Bernardeschi,,Italy,AG|AD|MOC|MG,81
Juventus,2019-2020,30,Rodrigo Bentancur,,Uruguay,MDC|MC,80
Juventus,2019-2020,13,Danilo,,Brazil,DD|DC|DG,79
Juventus,2019-2020,2,Mattia De Sciglio,,Italy,DD|DG|DC,77
Juventus,2019-2020,28,Merih Demiral,,Turkey,DC,77
Juventus,2020-2021,7,Cristiano Ronaldo,CR7,Portugal,BU|AG|AD|MOC,92
Juventus,2020-2021,1,Wojciech Szczesny,,Poland,G,87
Juventus,2020-2021,10,Paulo Dybala,,Argentina,MOC|AG|AD|BU,87
Juventus,2020-2021,3,Giorgio Chiellini,,Italy,DC|DG,86
Juventus,2020-2021,4,Matthijs de Ligt,,Netherlands,DC,85
Juventus,2020-2021,19,Leonardo Bonucci,,Italy,DC,84
Juventus,2020-2021,12,Alex Sandro,,Brazil,DG|MG,84
Juventus,2020-2021,5,Arthur,,Brazil,MC|MDC,84
Juventus,2020-2021,9,Alvaro Morata,,Spain,BU,83
Juventus,2020-2021,1,Gianluigi Buffon,,Italy,G,82
Juventus,2020-2021,5,Miralem Pjanic,,Bosnia and Herzegovina,MC|MOC|MDC,82
Juventus,2020-2021,8,Aaron Ramsey,,Wales,MC|MOC|MDC,82
Juventus,2020-2021,16,Juan Cuadrado,,Colombia,AD|DD|MD,82
Juventus,2020-2021,9,Gonzalo Higuain,,Argentina,BU,81
Juventus,2020-2021,6,Sami Khedira,,Germany,MDC|MC,81
Juventus,2020-2021,25,Adrien Rabiot,,France,MC|MDC|MG,81
Juventus,2020-2021,11,Douglas Costa,,Brazil,AG|AD|MG|MD,80
Juventus,2020-2021,13,Danilo,,Brazil,DD|DC|DG,80
Juventus,2020-2021,33,Federico Bernardeschi,,Italy,AG|AD|MOC|MG,79
Juventus,2020-2021,30,Rodrigo Bentancur,,Uruguay,MDC|MC,79
Juventus,2020-2021,22,Federico Chiesa,,Italy,AD|AG|MD|MG,79
